"Parliament","Session","Debates","Journals","Speech"
"19th","4th","1943-01-29, p. 12, 16","1943-01-29, vol. 83, p. 19","View the Speech"
"19th","5th","1944-01-28, p. 7, 12","1944-01-28, vol. 84, p. 37","View the Speech"
"18th","3rd","1938-01-31, p. 16, 20","1938-01-31, vol. 76, p. 25","View the Speech"
"18th","6th"," , p. null"," , vol. null, p. null","View the Speech"
"18th","2nd","1937-01-18, p. 17, 21","1937-01-18, vol. 75, p. 24","View the Speech"
"18th","4th","1939-01-16, p. 14, 18","1939-01-16, vol. 77, p. 21","View the Speech"
"18th","5th","1939-09-08, p. 6, 10","1939-09-08, vol. 78, p. 7","View the Speech"
"18th","1st","1936-02-10, p. 27, 32","1936-02-10, vol. 74, p. 24","View the Speech"
"17th","1st","1930-09-08, p. 5, 7","1930-09-08, vol. 68, p. 10","View the Speech"
"17th","2nd","1931-03-16, p. 7, 11","1931-03-16, vol. 69, p. 17","View the Speech"
"17th","3rd","1932-02-08, p. 13, 19","1932-02-08, vol. 70, p. 16","View the Speech"
"17th","5th","1934-01-29, p. 9, 13","1934-01-29, vol. 72, p. 22","View the Speech"
"17th","4th","1932-10-10, p. 11, 15","1932-10-10, vol. 71, p. 13","View the Speech"
"17th","6th","1935-01-21, p. 17, 22","1935-01-21, vol. 73, p. 23","View the Speech"
"16th","1st","1926-12-13, p. 10, 12","1926-12-13, vol. 64, p. 18","View the Speech"
"16th","4th","1930-02-24, p. 8, 11","1930-02-24, vol. 67, p. 17","View the Speech"
"16th","2nd","1928-01-27, p. 6, 9","1928-01-27, vol. 65, p. 12","View the Speech"
"16th","3rd","1929-02-08, p. 11, 14","1929-02-08, vol. 66, p. 15","View the Speech"
"15th","1st","1926-01-18, p. 192, 198","1926-01-18, vol. 63, p. 34","View the Speech"
"14th","2nd","1923-02-01, p. 9, 16","1923-02-01, vol. 60, p. 16","View the Speech"
"14th","3rd","1924-03-03, p. 7, 10","1924-03-03, vol. 61, p. 19","View the Speech"
"14th","4th","1925-02-09, p. 6, 10","1925-02-09, vol. 62, p. 13","View the Speech"
"14th","1st","1922-03-13, p. 10, 15","1922-03-13, vol. 59, p. 18","View the Speech"
"13th","5th","1921-02-15, p. 5, 7","1921-02-15, vol. 58, p. 9","View the Speech"
"13th","4th","1920-03-01, p. 11, 18","1920-03-01, vol. 57, p. 10","View the Speech"
"13th","3rd","1919-09-02, p. 3, 6","1919-09-02, vol. 56, p. 8","View the Speech"
"13th","2nd","1919-02-25, p. 13, 17","1919-02-25, vol. 55, p. 8","View the Speech"
"13th","1st","1918-03-18, p. 5, 7","1918-03-18, vol. 54, p. 11","View the Speech"
"12th","3rd","1914-01-19, p. 4, 8","1914-01-19, vol. 49, p. 21","View the Speech"
"12th","1st","1911-11-20, p. 14, 27","1911-11-20, vol. 47, p. 21","View the Speech"
"12th","5th","1915-02-08, p. 4, 11","1915-02-08, vol. 51, p. 13","View the Speech"
"12th","4th","1914-08-19, p. 3, 5","1914-08-19, vol. 50, p. 5","View the Speech"
"12th","2nd","1912-11-25, p. 6, 14","1912-11-25, vol. 48, p. 16","View the Speech"
"12th","6th","1916-01-17, p. 5, 11","1916-01-17, vol. 52, p. 12","View the Speech"
"12th","7th","1917-01-22, p. 9, 12","1917-01-22, vol. 53, p. 18","View the Speech"
"11th","1st","1909-01-22, p. 15, 20","1909-01-22, vol. 44, p. 13","View the Speech"
"11th","3rd","1910-11-21, p. 10, 16","1910-11-21, vol. 46, p. 8","View the Speech"
"11th","2nd","1909-11-15, p. 22, 27","1909-11-15, vol. 45, p. 18","View the Speech"
"10th","1st","1905-01-16, p. 9, 17","1905-01-16, vol. 40, p. 12","View the Speech"
"10th","3rd","1906-11-23, p. 9, 15","1906-11-23, vol. 42, p. 22","View the Speech"
"10th","2nd","1906-03-12, p. 20, 27","1906-03-12, vol. 41, p. 28","View the Speech"
"10th","4th","1907-12-02, p. 9, 17","1907-12-02, vol. 43, p. 18","View the Speech"
"9th","2nd","1902-02-14, p. 7, 16","1902-02-14, vol. 37, p. 28","View the Speech"
"9th","3rd","1903-03-13, p. 7, 18","1903-03-13, vol. 38, p. 25","View the Speech"
"9th","4th","1904-03-14, p. 11, 23","1904-03-14, vol. 39, p. 17","View the Speech"
"9th","1st","1901-02-11, p. 21, 31","1901-02-11, vol. 36, p. 18","View the Speech"
"8th","1st","1896-08-24, p. 20, 31","1896-08-24, vol. 31, p. 8","View the Speech"
"8th","2nd","1897-03-26, p. 7, 18","1897-03-26, vol. 32, p. 35","View the Speech"
"8th","5th","1900-02-05, p. 10, 15","1900-02-05, vol. 35, p. 9","View the Speech"
"8th","3rd","1898-02-04, p. 7, 18","1898-02-04, vol. 33, p. 21","View the Speech"
"8th","4th","1899-03-20, p. 9, 21","1899-03-20, vol. 34, p. 13","View the Speech"
"7th","1st","1891-05-01, p. 8, 17","1891-05-01, vol. 25, p. 8","View the Speech"
"7th","6th","1896-01-16, p. 144, 152","1896-01-16, vol. 30, p. 15","View the Speech"
"7th","3rd","1893-01-30, p. 7, 14","1893-01-30, vol. 27, p. 33","View the Speech"
"7th","2nd","1892-02-29, p. 7, 18","1892-02-29, vol. 26, p. 90","View the Speech"
"7th","4th","1894-03-16, p. 11, 23","1894-03-16, vol. 28, p. 11","View the Speech"
"7th","5th","1895-04-19, p. 5, 14","1895-04-19, vol. 29, p. 6","View the Speech"
"6th","4th","1890-01-17, p. 4, 9","1890-01-17, vol. 24, p. 6","View the Speech"
"6th","1st","1887-04-15, p. 7, 8","1887-04-15, vol. 21, p. 10","View the Speech"
"6th","2nd","1888-02-24, p. 2, 7","1888-02-24, vol. 22, p. 47","View the Speech"
"6th","3rd","1889-02-01, p. 3, 6","1889-02-01, vol. 23, p. 23","View the Speech"
"5th","4th","1886-02-26, p. 2, 6","1886-02-26, vol. 20, p. 7","View the Speech"
"5th","3rd","1885-01-30, p. 2, 5","1885-01-30, vol. 19, p. 12","View the Speech"
"5th","1st","1883-02-12, p. 5, 10","1883-02-12, vol. 17, p. 17","View the Speech"
"5th","2nd","1884-01-18, p. 3, 6","1884-01-18, vol. 18, p. 15","View the Speech"
"4th","4th","1882-02-10, p. 3, 6","1882-02-10, vol. 16, p. 13","View the Speech"
"4th","1st","1879-02-17, p. 6, 12","1879-02-17, vol. 13, p. 10","View the Speech"
"4th","3rd","1880-12-10, p. 3, 6","1880-12-10, vol. 15, p. 11","View the Speech"
"4th","2nd","1880-02-13, p. 4, 9","1880-02-13, vol. 14, p. 17","View the Speech"
"3rd","1st","1874-03-30, p. -","1874-03-30, vol. 8, p. 5","View the Speech"
"3rd","5th","1878-02-11, p. 19, 22","1878-02-11, vol. 12, p. 17","View the Speech"
"3rd","3rd","1876-02-11, p. 3, 9","1876-02-11, vol. 10, p. 51","View the Speech"
"3rd","2nd","1875-02-05, p. 5, 9","1875-02-05, vol. 9, p. 55","View the Speech"
"3rd","4th","1877-02-09, p. 5, 8","1877-02-09, vol. 11, p. 13","View the Speech"
"2nd","2nd","1873-10-27, p. -","1873-10-27, vol. 7, p. 125","View the Speech"
"2nd","1st","1873-03-11, p. -","1873-03-11, vol. 6, p. 12","View the Speech"
"1st","5th","1872-04-12, p. 15, 17","1872-04-12, vol. 5, p. 9","View the Speech"
"1st","4th","1871-02-16, p. 16, 17","1871-02-16, vol. 4, p. 11","View the Speech"
"1st","1st","1867-11-08, p. 7, 8","1867-11-08, vol. 1, p. 9","View the Speech"
"1st","3rd","1870-02-17, p. 13, 18","1870-02-17, vol. 3, p. 13","View the Speech"
"1st","2nd","1869-04-16, p. 5, 7","1869-04-16, vol. 2, p. 16","View the Speech"
